state,area,medianhouse,medianunit,code
NSW,Kiama,640000,430000,14400
SA,Kimba,,,43220
TAS,King Island,230000,,63410
TAS,Kingborough,400000,290000,63610
SA,Kingston,235000,,23430
VIC,Kingston,687500,,23430
VIC,Knox,575000,420000,23670
NSW,Kogarah,1205000,604000,14450
WA,Kojonup,215000,,54550
WA,Kondinin,127500,,54620
WA,Koorda,,,54690
NSW,Ku-ring-gai,1580000,750000,14500
WA,Kulin,,,54760
WA,Kwinana,370000,210000,54830
NSW,Kyogle,226500,,14550
NSW,Lachlan,145000,,14600
WA,Lake Grace,170500,,54900
NSW,Lake Macquarie,445000,360000,14650
NSW,Lane Cove,1720000,651000,14700
TAS,Latrobe,316000,221500,23810
VIC,Latrobe,215000,221500,23810
TAS,Launceston,260000,225000,64010
WA,Laverton,,,54970
NSW,Leeton,220000,147000,14750
NSW,Leichhardt,1260000,805000,14800
WA,Leonora,,,55040
SA,Light,350000,,43650
NSW,Lismore,340000,230250,14850
NT,Litchfield,635000,404600,72300
NSW,Lithgow,250000,175000,14870
NSW,Liverpool,612750,379000,14900
NSW,Liverpool Plains,182500,,14920
QLD,Livingstone,410000,285000,34530
NSW,Lockhart,125000,,14950
QLD,Lockhart River,,,34570
QLD,Lockyer Valley,309500,,34580
VIC,Loddon,135000,,23940
QLD,Logan,375000,243500,34590
QLD,Longreach,200000,,34710
SA,Lower Eyre Peninsula,315000,,43710
SA,Loxton Waikerie,197500,112500,43790
VIC,Macedon Ranges,445000,348000,24130
QLD,Mackay,394000,305000,34770
NSW,Maitland,380000,299768,15050
SA,Mallala,270000,,43920
WA,Mandurah,410000,342000,55110
WA,Manjimup,265000,182500,55180
NSW,Manly,1780000,890000,15150
VIC,Manningham,908000,602500,24210
VIC,Mansfield,290000,282250,24250
QLD,Maranoa,290000,,34860
QLD,Mareeba,340000,205000,34880
VIC,Maribyrnong,671500,405000,24330
SA,Marion,440000,361500,44060
VIC,Maroondah,605000,417000,24410
NSW,Marrickville,1060000,625500,15200
QLD,McKinlay,,,34800
TAS,Meander Valley,288750,216500,64210
WA,Meekatharra,,,55250
VIC,Melbourne,797900,500000,24600
VIC,Melton,370000,285000,24650
WA,Melville,822000,500000,55320
WA,Menzies,,,55390
WA,Merredin,165000,,55460
SA,Mid Murray,235000,,44210
NSW,Mid-Western Regional,340000,306250,15270
VIC,Mildura,227500,162000,24780
WA,Mingenew,,,55530
SA,Mitcham,576000,350000,44340
VIC,Mitchell,305000,245000,24850
VIC,Moira,240000,190000,24900
VIC,Monash,880000,557000,24970
VIC,Moonee Valley,785500,451000,25060
WA,Moora,190000,,55600
VIC,Moorabool,340000,273500,25150
WA,Morawa,,,55670
NSW,Moree Plains,235000,120000,15300
VIC,Moreland,635000,420500,25250
QLD,Moreton Bay,412065,330000,35010
VIC,Mornington Peninsula,525000,380000,25340
NSW,Mosman,2675000,810000,15350
WA,Mosman Park,1460000,415000,55740
VIC,Mount Alexander,343000,290000,25430
SA,Mount Barker,392000,252500,44550
SA,Mount Gambier,240000,165000,44620
QLD,Mount Isa,355000,345000,35300
WA,Mount Magnet,72500,,55810
WA,Mount Marshall,,,55880
SA,Mount Remarkable,165000,,44830
VIC,Moyne,300000,341500,25490
WA,Mukinbudin,,,55950
WA,Mullewa,,,#N/A
WA,Mundaring,550000,,56090
NSW,Murray,245000,202500,15500
WA,Murray,417500,202500,15500
SA,Murray Bridge,250000,173000,45040
VIC,Murrindindi,235000,250000,25620
NSW,Murrumbidgee,165000,,15550
QLD,Murweh,110000,,35600
NSW,Muswellbrook,296000,,15650
NSW,Nambucca,315000,225000,15700
WA,Nannup,420000,,56300
SA,Naracoorte and Lucindale,220000,,45090
WA,Narembeen,130000,,56370
NSW,Narrabri,282000,,15750
NSW,Narrandera,157500,,15800
WA,Narrogin,195000,,56450
NSW,Narromine,210000,,15850
WA,Nedlands,1640000,725000,56580
NSW,Newcastle,470000,399000,15900
VIC,Nillumbik,560000,468500,25710
QLD,Noosa,550000,389000,35740
QLD,North Burnett,162500,,35760
NSW,North Sydney,1755000,802000,15950
WA,Northam,362500,,56730
WA,Northampton,285000,140000,56790
SA,Northern Areas,150000,,45120
VIC,Northern Grampians,157500,,25810
TAS,Northern Midlands,249000,211000,64610
SA,Norwood Payneham St Peters,655850,409500,45290
WA,Nungarin,,,56860
